Имя	Группа	Профиль	Включено	Действие	Частота	Программа	Локальный адрес	Удаленный адрес	Протокол	Локальный порт	Удаленный порт	Авторизованные пользователи	Разрешенные компьютеры	Авторизованные локальные субъекты	Локальный пользователь-владелец	Пакет приложения	
Удаленный рабочий стол — пользовательский режим (входящий трафик TCP)	Дистанционное управление рабочим столом	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	3389	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный рабочий стол — пользовательский режим (входящий трафик UDP)	Дистанционное управление рабочим столом	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	3389	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный рабочий стол — теневая копия (TCP — входящий трафик)	Дистанционное управление рабочим столом	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\RdpSa.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Домашняя группа: входящий трафик	Домашняя группа	Частный	Нет	Разрешить	Нет	%systemroot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	3587	Любой	Любой	Любой	Любой	Любой	Любой	
Домашняя группа: входящий трафик (PNRP)	Домашняя группа	Частный	Нет	Разрешить	Нет	%systemroot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	3540	Любой	Любой	Любой	Любой	Любой	Любой	
Журналы и оповещения производительности (DCOM - входящий трафик)	Журналы и оповещения производительности	Домен	Нет	Разрешить	Нет	%systemroot%\system32\svchost.exe	Любой	Любой	TCP	135	Любой	Любой	Любой	Любой	Любой	Любой	
Журналы и оповещения производительности (DCOM - входящий трафик)	Журналы и оповещения производительности	Частный, Общий	Нет	Разрешить	Нет	%systemroot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	135	Любой	Любой	Любой	Любой	Любой	Любой	
Журналы и оповещения производительности (протокол TCP - входящий трафик)	Журналы и оповещения производительности	Домен	Нет	Разрешить	Нет	%systemroot%\system32\plasrv.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Журналы и оповещения производительности (протокол TCP - входящий трафик)	Журналы и оповещения производительности	Частный, Общий	Нет	Разрешить	Нет	%systemroot%\system32\plasrv.exe	Любой	Локальная подсеть	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Запустить	Запустить	Домен, Частный	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy	
Службы Интернета (входящий трафик HTTPS)	Защищенные службы Интернета (HTTPS)	Все	Да	Разрешить	Нет	System	Любой	Любой	TCP	443	Любой	Любой	Любой	Любой	Любой	Любой	
Инструментарий управления Windows (DCOM - входящий трафик)	Инструментарий управления Windows (WMI)	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	135	Любой	Любой	Любой	Любой	Любой	Любой	
Инструментарий управления Windows (DCOM - входящий трафик)	Инструментарий управления Windows (WMI)	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	135	Любой	Любой	Любой	Любой	Любой	Любой	
Инструментарий управления Windows (WMI - входящий трафик)	Инструментарий управления Windows (WMI)	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Инструментарий управления Windows (WMI - входящий трафик)	Инструментарий управления Windows (WMI)	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Инструментарий управления Windows (асинхронный - входящий трафик)	Инструментарий управления Windows (WMI)	Домен	Нет	Разрешить	Нет	%systemroot%\system32\wbem\unsecapp.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Инструментарий управления Windows (асинхронный - входящий трафик)	Инструментарий управления Windows (WMI)	Частный, Общий	Нет	Разрешить	Нет	%systemroot%\system32\wbem\unsecapp.exe	Любой	Локальная подсеть	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Инфраструктура одноранговых подключений Windows (PNRP - входящий)	Инфраструктура одноранговых подключений Windows	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	3540	Любой	Любой	Любой	Любой	Любой	Любой	
Инфраструктура одноранговых подключений Windows (SSDP - входящий)	Инфраструктура одноранговых подключений Windows	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	1900	Любой	Любой	Любой	Любой	Любой	Любой	
Инфраструктура одноранговых подключений Windows (TCP - входящий)	Инфраструктура одноранговых подключений Windows	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\p2phost.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Инфраструктура одноранговых подключений Windows (WSD - входящий)	Инфраструктура одноранговых подключений Windows	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\p2phost.exe	Любой	Локальная подсеть	UDP	3702	Любой	Любой	Любой	Любой	Любой	Любой	
Клиенты управления Hyper-V - WMI (DCOM-вход.)	Клиенты управления Hyper-V	Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	135	Любой	Любой	Любой	Любой	Любой	Любой	
Клиенты управления Hyper-V - WMI (TCP-вход.)	Клиенты управления Hyper-V	Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Клиенты управления Hyper-V - WMI (асинх.-вход.)	Клиенты управления Hyper-V	Все	Да	Разрешить	Нет	%SystemRoot%\system32\wbem\unsecapp.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Компаньон консоли Xbox	Компаньон консоли Xbox	Все	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.XboxApp_8wekyb3d8bbwe	
Координатор распределенных транзакций (RPC)	Координатор распределенных транзакций	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Координатор распределенных транзакций (RPC)	Координатор распределенных транзакций	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Координатор распределенных транзакций (RPC-EPMAP)	Координатор распределенных транзакций	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Координатор распределенных транзакций (RPC-EPMAP)	Координатор распределенных транзакций	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Координатор распределенных транзакций (TCP - входящий)	Координатор распределенных транзакций	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\msdtc.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Координатор распределенных транзакций (TCP - входящий)	Координатор распределенных транзакций	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\msdtc.exe	Любой	Локальная подсеть	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Служба ловушек SNMP (UDP In)	Ловушка SNMP	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\snmptrap.exe	Любой	Любой	UDP	162	Любой	Любой	Любой	Любой	Любой	Любой	
Служба ловушек SNMP (UDP In)	Ловушка SNMP	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\snmptrap.exe	Любой	Локальная подсеть	UDP	162	Любой	Любой	Любой	Любой	Любой	Любой	
Маршрутизатор AllJoyn (входящие TCP)	Маршрутизатор AllJoyn	Домен, Частный	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	9955	Любой	Любой	Любой	Любой	Любой	Любой	
Маршрутизатор AllJoyn (входящие UDP)	Маршрутизатор AllJoyn	Домен, Частный	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Маршрутизация и удаленный доступ (GRE - входящий)	Маршрутизация и удаленный доступ	Все	Нет	Разрешить	Нет	System	Любой	Любой	GRE	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Маршрутизация и удаленный доступ (L2TP - входящий)	Маршрутизация и удаленный доступ	Все	Нет	Разрешить	Нет	System	Любой	Любой	UDP	1701	Любой	Любой	Любой	Любой	Любой	Любой	
Маршрутизация и удаленный доступ (PPTP - входящий)	Маршрутизация и удаленный доступ	Все	Нет	Разрешить	Нет	System	Любой	Любой	TCP	1723	Любой	Любой	Любой	Любой	Любой	Любой	
Медиаприставки Media Center - qWave (TCP - входящий трафик)	Медиаприставка Media Center	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	2177	Любой	Любой	Любой	Любой	Любой	Любой	
Медиаприставки Media Center - qWave (UDP - входящий трафик)	Медиаприставка Media Center	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	2177	Любой	Любой	Любой	Любой	Любой	Любой	
Медиаприставки Media Center - RTSP (TCP - входящий трафик)	Медиаприставка Media Center	Все	Нет	Разрешить	Нет	%SystemRoot%\ehome\ehshell.exe	Любой	Локальная подсеть	TCP	554, 8554, 8555, 8556, 8557, 8558	Любой	Любой	Любой	Любой	Любой	Любой	
Медиаприставки Media Center - SSDP (UDP - входящий трафик)	Медиаприставка Media Center	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	1900	Любой	Любой	Любой	Любой	Любой	Любой	
Медиаприставки Media Center - WMDRM-ND/RTP/RTCP (UDP - входящий трафик)	Медиаприставка Media Center	Все	Нет	Разрешить	Нет	%SystemRoot%\ehome\ehshell.exe	Любой	Локальная подсеть	UDP	7777, 7778, 7779, 7780, 7781, 5004, 5005, 50004, 50005, 50006, 50007, 50008, 50009, 50010, 50011, 50012, 50013	Любой	Любой	Любой	Любой	Любой	Любой	
Медиаприставки Media Center - XSP (TCP - входящий трафик)	Медиаприставка Media Center	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	3390	Любой	Любой	Любой	Любой	Любой	Любой	
Медиаприставки Media Center - потоковая передача HTTP (TCP - входящий трафик)	Медиаприставка Media Center	Все	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	10244	Любой	Любой	Любой	Любой	Любой	Любой	
Медиаприставки Media Center - потоковая передача мультимедиа (TCP - входящий трафик)	Медиаприставка Media Center	Все	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	2869	Любой	Любой	Любой	Любой	Любой	Любой	
Наблюдение за виртуальной машиной (DCOM - входящий трафик)	Наблюдение за виртуальной машиной	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	135	Любой	Любой	Любой	Любой	Любой	Любой	
Наблюдение за виртуальной машиной (RPC)	Наблюдение за виртуальной машиной	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Наблюдение за виртуальной машиной (сеанс NB - входящий трафик)	Наблюдение за виртуальной машиной	Все	Нет	Разрешить	Нет	System	Любой	Любой	TCP	139	Любой	Любой	Любой	Любой	Любой	Любой	
Наблюдение за виртуальной машиной (эхо-запрос - ICMPv4 - входящий трафик)	Наблюдение за виртуальной машиной	Все	Нет	Разрешить	Нет	System	Любой	Любой	ICMPv4	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Наблюдение за виртуальной машиной (эхо-запрос - ICMPv6 - входящий трафик)	Наблюдение за виртуальной машиной	Все	Нет	Разрешить	Нет	System	Любой	Любой	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (LLMNR UDP - входящий)	Обнаружение сети	Домен, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	5355	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (LLMNR UDP - входящий)	Обнаружение сети	Частный	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	5355	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (SSDP - входящий)	Обнаружение сети	Домен, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	1900	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (SSDP - входящий)	Обнаружение сети	Частный	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	1900	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (UPnP - входящий)	Обнаружение сети	Домен	Нет	Разрешить	Нет	System	Любой	Любой	TCP	2869	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (UPnP - входящий)	Обнаружение сети	Частный	Да	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	2869	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (UPnP - входящий)	Обнаружение сети	Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	2869	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (WSD — входящий трафик)	Обнаружение сети	Домен, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\dashost.exe	Любой	Локальная подсеть	UDP	3702	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (WSD — входящий трафик)	Обнаружение сети	Частный	Да	Разрешить	Нет	%SystemRoot%\system32\dashost.exe	Любой	Локальная подсеть	UDP	3702	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (WSD - входящий)	Обнаружение сети	Домен, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	3702	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (WSD - входящий)	Обнаружение сети	Частный	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	3702	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (безопасные события WSD - входящий трафик)	Обнаружение сети	Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	5358	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (безопасные события WSD - входящий трафик)	Обнаружение сети	Домен	Нет	Разрешить	Нет	System	Любой	Любой	TCP	5358	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (безопасные события WSD - входящий трафик)	Обнаружение сети	Частный	Да	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	5358	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (датаграммы NetBios - входящий)	Обнаружение сети	Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	UDP	138	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (датаграммы NetBios - входящий)	Обнаружение сети	Частный	Да	Разрешить	Нет	System	Любой	Локальная подсеть	UDP	138	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (датаграммы NetBios - входящий)	Обнаружение сети	Домен	Нет	Разрешить	Нет	System	Любой	Любой	UDP	138	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (имена NetBios - входящий)	Обнаружение сети	Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	UDP	137	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (имена NetBios - входящий)	Обнаружение сети	Частный	Да	Разрешить	Нет	System	Любой	Локальная подсеть	UDP	137	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (имена NetBios - входящий)	Обнаружение сети	Домен	Нет	Разрешить	Нет	System	Любой	Любой	UDP	137	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (общий - WSD - входящий трафик)	Обнаружение сети	Частный	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	3702	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (общий - WSD - входящий трафик)	Обнаружение сети	Домен, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	3702	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (события WSD - входящий трафик)	Обнаружение сети	Домен	Нет	Разрешить	Нет	System	Любой	Любой	TCP	5357	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (события WSD - входящий трафик)	Обнаружение сети	Частный	Да	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	5357	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети (события WSD - входящий трафик)	Обнаружение сети	Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	5357	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети для Teredo (входящий трафик SSDP)	Обнаружение сети	Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети для Teredo (входящий трафик UPnP)	Обнаружение сети	Общий	Нет	Разрешить	Нет	System	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Использование очереди печати Wi-Fi Direct (входящий трафик)	Обнаружение сети Wi-Fi Direct	Общий	Да	Разрешить	Нет	%SystemRoot%\system32\spoolsv.exe	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Использование службы сканирования Wi-Fi Direct (входящий трафик)	Обнаружение сети Wi-Fi Direct	Общий	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Обнаружение сети Wi-Fi Direct (входящий трафик)	Обнаружение сети Wi-Fi Direct	Общий	Да	Разрешить	Нет	%SystemRoot%\system32\dashost.exe	Любой	Любой	Любой	Любой	Любой	Любой	Любой	S-1-5-92-3339056971-1291069075-3798698925-2882100687-0	Любой	Любой	
Общий доступ к файлам и принтерам (LLMNR UDP - входящий)	Общий доступ к файлам и принтерам	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	5355	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (входящий трафик SMB)	Общий доступ к файлам и принтерам	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	445	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (входящий трафик SMB)	Общий доступ к файлам и принтерам	Домен	Нет	Разрешить	Нет	System	Любой	Любой	TCP	445	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (входящий трафик сеанса NB)	Общий доступ к файлам и принтерам	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	139	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (входящий трафик сеанса NB)	Общий доступ к файлам и принтерам	Домен	Нет	Разрешить	Нет	System	Любой	Любой	TCP	139	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (датаграммы NetBios - входящий)	Общий доступ к файлам и принтерам	Домен	Нет	Разрешить	Нет	System	Любой	Любой	UDP	138	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (датаграммы NetBios - входящий)	Общий доступ к файлам и принтерам	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	UDP	138	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (имена NetBios - входящий)	Общий доступ к файлам и принтерам	Домен	Нет	Разрешить	Нет	System	Любой	Любой	UDP	137	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (имена NetBios - входящий)	Общий доступ к файлам и принтерам	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	UDP	137	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (служба диспетчера очереди печати - RPC)	Общий доступ к файлам и принтерам	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\spoolsv.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (служба диспетчера очереди печати - RPC)	Общий доступ к файлам и принтерам	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\spoolsv.exe	Любой	Локальная подсеть	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (служба диспетчера очереди печати - RPC-EPMAP)	Общий доступ к файлам и принтерам	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (служба диспетчера очереди печати - RPC-EPMAP)	Общий доступ к файлам и принтерам	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (эхо-запрос - входящий трафик ICMPv4)	Общий доступ к файлам и принтерам	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	ICMPv4	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (эхо-запрос - входящий трафик ICMPv4)	Общий доступ к файлам и принтерам	Домен	Нет	Разрешить	Нет	System	Любой	Любой	ICMPv4	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (эхо-запрос - входящий трафик ICMPv6)	Общий доступ к файлам и принтерам	Домен	Нет	Разрешить	Нет	System	Любой	Любой	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам (эхо-запрос - входящий трафик ICMPv6)	Общий доступ к файлам и принтерам	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ к файлам и принтерам через SMBDirect (входящий трафик iWARP)	Общий доступ к файлам и принтерам через SMBDirect	Все	Нет	Разрешить	Нет	System	Любой	Любой	TCP	5445	Любой	Любой	Любой	Любой	Любой	Любой	
Общий доступ с помощью близкого взаимодействия через TCP (TCP – общий входящий трафик)	Общий доступ с помощью близкого взаимодействия	Все	Да	Разрешить	Нет	%SystemRoot%\system32\proximityuxhost.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Оптимизация доставки (TCP-In)	Оптимизация доставки	Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	7680	Любой	Любой	Любой	Любой	Любой	Любой	
Оптимизация доставки (UDP-In)	Оптимизация доставки	Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	7680	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей - IPHTTPS (TCP - входящий)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Любой	TCP	IPHTTPS	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей — IPv6 (входящий трафик IPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Любой	IPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей — RA (входящий трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	fe80::/64	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей - Teredo (входящий трафик UDP)	Основы сетей	Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	Обход узлов	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей - завершение многоадресного прослушивателя (вх. трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Локальная подсеть	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей — запрос маршрута (входящий трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Любой	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей — запрос многоадресного прослушивателя (входящий трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Локальная подсеть	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей — запрос поиска соседей (входящий трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Любой	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей — назначение недостижимо (входящий трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Любой	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей - назначение недостижимо, необходима фрагментация (вх. трафик ICMPv4)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Любой	ICMPv4	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей — объявление поиска соседей (входящий трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Любой	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей - отчет многоадресного прослушивателя (входящий трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Локальная подсеть	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей - отчет многоадресного прослушивателя версии 2 (вх. трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Локальная подсеть	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей — ошибка параметра (входящий трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Любой	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей — превышение времени (входящий трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Любой	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей - протокол DHCP (вх. трафик DHCP)	Основы сетей	Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	68	67	Любой	Любой	Любой	Любой	Любой	
Основы сетей - протокол DHCP для IPv6 (вх. трафик DHCPV6)	Основы сетей	Все	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	546	547	Любой	Любой	Любой	Любой	Любой	
Основы сетей — протокол IGMP (входящий трафик IGMP)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Любой	IGMP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Основы сетей — слишком большой размер пакета (входящий трафик ICMPv6)	Основы сетей	Все	Да	Разрешить	Нет	System	Любой	Любой	ICMPv6	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
